Bölge/İlçe,Yüzölçümü (km2),Yüzölçümü (m2)
İzmir (Toplam),11891,11891000000
Aliağa,379,379000000
Balçova,16,16000000
Bayındır,548,548000000
Bayraklı,30,30000000
Bergama,1544,1544000000
Beydağ,172,172000000
Bornova,220,220000000
Buca,178,178000000
Çeşme,285,285000000
Çiğli,139,139000000
Dikili,534,534000000
Foça,251,251000000
Gaziemir,70,70000000
Güzelbahçe,77,77000000
Karabağlar,89,89000000
Karaburun,421,421000000
Karşıyaka,51,51000000
Kemalpaşa,681,681000000
Kınık,479,479000000
Kiraz,573,573000000
Konak,24,24000000
Menderes,777,777000000
Menemen,573,573000000
Narlıdere,50,50000000
Ödemiş,1019,1019000000
Seferihisar,375,375000000
Selçuk,317,317000000
Tire,716,716000000
Torbalı,577,577000000
Urla,727,727000000