ILCE_ORJ,MAHALLE_ORJ,ALAN_M2,NUFUS_2025,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027,XGB_TAHMINI_NUFUS_2026,XGB_TAHMINI_NUFUS_2027,KISI_BASI_M2_2025,XGB_KISI_BASI_M2_2026,XGB_KISI_BASI_M2_2027,HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_XGB_2026,HEDEF_ALAN_M2_XGB_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_XGB_2026,EKLENMESI_GEREKEN_ALAN_M2_XGB_2027,XGB_RISK_2025,XGB_RISK_2026,XGB_RISK_2027,ESLESME_TURU
Buca,Mustafa Kemal Mah.,1600.0,22106,22011,21916,21825,21860,0.07237853976296028,0.07331042382588775,0.07319304666056725,33159.0,32737.5,32790.0,31559.0,31137.5,31190.0,1,1,1,EXACT
Bornova,Yesilova Mah.,18400.0,32289,32557,32827,32568,32749,0.5698535104834463,0.5649717514124294,0.5618492167699777,48433.5,48852.0,49123.5,30033.5,30452.0,30723.5,1,1,1,EXACT
Cigli,Kucuk Cigli Mah.,3037.0,21784,21858,21932,21833,21895,0.13941424899008448,0.13910136032611184,0.13870746745832382,32676.0,32749.5,32842.5,29639.0,29712.5,29805.5,1,1,1,EXACT
Bornova,Inonu Mah.,9100.0,26210,26428,26647,26389,25640,0.34719572682182376,0.3448406533025124,0.3549141965678627,39315.0,39583.5,38460.0,30215.0,30483.5,29360.0,1,1,1,EXACT
Karabaglar,Vatan Mah.,6365.0,24325,24041,23761,23990,23790,0.2616649537512847,0.2653188828678616,0.26754939050021015,36487.5,35985.0,35685.0,30122.5,29620.0,29320.0,1,1,1,EXACT
Karabaglar,Gunaltay Mah.,4927.0,20818,20575,20335,20746,20209,0.23667018925929484,0.23749156463896653,0.24380226631698748,31227.0,31119.0,30313.5,26300.0,26192.0,25386.5,1,1,1,EXACT
Buca,Buca Koop Mah.,4345.0,19565,19481,19397,19572,19693,0.2220802453360593,0.22200081749437972,0.2206367744883969,29347.5,29358.0,29539.5,25002.5,25013.0,25194.5,1,1,1,EXACT
Karsiyaka,Semikler Mah.,17700.0,28951,28785,28620,28669,28586,0.6113778453248593,0.6173916076598417,0.6191842160498146,43426.5,43003.5,42879.0,25726.5,25303.5,25179.0,1,1,1,EXACT
Bornova,Doganlar Mah.,9160.0,22291,22476,22663,22543,22486,0.4109281772912835,0.4063345606174866,0.40736458240683093,33436.5,33814.5,33729.0,24276.5,24654.5,24569.0,1,1,1,EXACT
Buca,Camlikule Mah.,9515.0,21632,21539,21446,21855,22087,0.43985761834319526,0.4353694806680394,0.43079639607008646,32448.0,32782.5,33130.5,22933.0,23267.5,23615.5,1,1,1,EXACT
Buca,Inonu Mah.,5956.0,19626,19541,19457,19578,19714,0.3034749821665138,0.30421902135049544,0.3021203205843563,29439.0,29367.0,29571.0,23483.0,23411.0,23615.0,1,1,1,EXACT
Bornova,Evka 3 Mah.,7900.0,20649,20820,20993,20724,20406,0.3825851130805366,0.3812005404362092,0.3871410369499167,30973.5,31086.0,30609.0,23073.5,23186.0,22709.0,1,1,1,EXACT
Karsiyaka,Dedebasi Mah.,7650.0,20015,19900,19786,20149,20161,0.38221333999500373,0.37967144771452677,0.3794454640146818,30022.5,30223.5,30241.5,22372.5,22573.5,22591.5,1,1,1,EXACT
Bornova,Rafet Pasa Mah.,4000.0,17716,17863,18011,17655,17361,0.22578460149017837,0.22656471254602095,0.23040147456943724,26574.0,26482.5,26041.5,22574.0,22482.5,22041.5,1,1,1,EXACT
Buca,Yigitler Mah.,685.0,14034,13974,13913,13982,14040,0.04881003277754026,0.048991560577885854,0.04878917378917379,21051.0,20973.0,21060.0,20366.0,20288.0,20375.0,1,1,1,EXACT
Menemen,Istiklal Mah.,5757.0,15651,16090,16542,16108,16672,0.36783592102741036,0.35740004966476285,0.34530950095969287,23476.5,24162.0,25008.0,17719.5,18405.0,19251.0,1,1,1,EXACT
Buca,Hurriyet Mah.,3274.0,14623,14560,14497,14765,14870,0.22389386582780552,0.2217406027768371,0.22017484868863482,21934.5,22147.5,22305.0,18660.5,18873.5,19031.0,1,1,1,EXACT
Buca,Yildiz Mah.,22800.0,26517,26403,26289,26811,27776,0.8598257721461704,0.8503972250195815,0.820852534562212,39775.5,40216.5,41664.0,16975.5,17416.5,18864.0,1,1,1,EXACT
Torbali,Ayrancilar Mah.,10124.0,17428,17852,18287,17931,19241,0.5809042919439982,0.564608778093804,0.5261680785821943,26142.0,26896.5,28861.5,16018.0,16772.5,18737.5,1,1,1,EXACT
Konak,Guzelyali Mah.,5886.0,16508,16250,15997,16151,16105,0.3565543978677005,0.3644356386601449,0.365476560074511,24762.0,24226.5,24157.5,18876.0,18340.5,18271.5,1,1,1,EXACT
Bornova,Kizilay Mah.,5400.0,15749,15880,16012,15792,15613,0.34287891294685374,0.34194528875379937,0.3458656247998463,23623.5,23688.0,23419.5,18223.5,18288.0,18019.5,1,1,1,EXACT
Buca,Yaylacik Mah.,7926.0,17352,17277,17203,17203,17285,0.45677731673582295,0.46073359297796895,0.4585478738790859,26028.0,25804.5,25927.5,18102.0,17878.5,18001.5,1,1,1,EXACT
Aliaga,Bahcedere Mah.,558.0,11997,12236,12481,12136,12130,0.046511627906976744,0.045978905735003295,0.04600164880461665,17995.5,18204.0,18195.0,17437.5,17646.0,17637.0,1,1,1,EXACT
Bornova,Gazi Osman Pasa Mah.,2200.0,12642,12747,12853,12770,13147,0.1740230976111375,0.17227877838684416,0.1673385563246368,18963.0,19155.0,19720.5,16763.0,16955.0,17520.5,1,1,1,EXACT
Buca,Ufuk Mah.,6800.0,15852,15784,15716,15880,16038,0.42896795357052736,0.4282115869017632,0.4239930165856092,23778.0,23820.0,24057.0,16978.0,17020.0,17257.0,1,1,1,EXACT
Karabaglar,Refet Bele Mah.,1865.0,12088,11947,11808,11956,11961,0.15428524156187956,0.15598862495818,0.15592341777443358,18132.0,17934.0,17941.5,16267.0,16069.0,16076.5,1,1,1,EXACT
Karabaglar,Yunus Emre Mah.,15390.0,21457,21207,20960,21189,20957,0.7172484503891504,0.7263202605125301,0.7343608340888486,32185.5,31783.5,31435.5,16795.5,16393.5,16045.5,1,1,1,EXACT
Karabaglar,Gulyaka Mah.,1156.0,11153,11023,10894,11196,11199,0.10364924235631669,0.10325116112897463,0.10322350209840164,16729.5,16794.0,16798.5,15573.5,15638.0,15642.5,1,1,1,EXACT
Buca,Kurucesme Mah.,10608.0,17407,17332,17257,17312,17315,0.6094100074682599,0.6127541589648798,0.6126479930695928,26110.5,25968.0,25972.5,15502.5,15360.0,15364.5,1,1,1,EXACT
Buca,Yesilbaglar Mah.,13605.0,19299,19216,19133,19159,19162,0.7049588061557593,0.7101101310089253,0.709998956267613,28948.5,28738.5,28743.0,15343.5,15133.5,15138.0,1,1,1,EXACT
Buca,Goksu Mah.,26644.0,29709,29581,29453,29402,27691,0.8968326096469084,0.9061968573566425,0.9621898811888339,44563.5,44103.0,41536.5,17919.5,17459.0,14892.5,1,1,1,EXACT
Balcova,Onur Mah.,8068.0,15693,15514,15337,15519,15257,0.5141145733766648,0.5198788581738514,0.5288064494985908,23539.5,23278.5,22885.5,15471.5,15210.5,14817.5,1,1,1,EXACT
Buca,Yenigun Mah.,18250.0,22055,21960,21865,21927,21970,0.8274767626388574,0.8323072011675103,0.8306781975421028,33082.5,32890.5,32955.0,14832.5,14640.5,14705.0,1,1,1,EXACT
Konak,Atilla Mah.,1280.0,10889,10719,10552,10750,10593,0.1175498209201947,0.11906976744186047,0.12083451335787784,16333.5,16125.0,15889.5,15053.5,14845.0,14609.5,1,1,1,EXACT
Balcova,Egitim Mah.,6847.0,13633,13477,13323,13481,13479,0.5022372185139001,0.5079000074178474,0.5079753690926626,20449.5,20221.5,20218.5,13602.5,13374.5,13371.5,1,1,1,EXACT
Karsiyaka,Cumhuriyet Mah.,6200.0,12934,12860,12786,12853,12862,0.47935673418895935,0.48237765502217383,0.48204011817757736,19401.0,19279.5,19293.0,13201.0,13079.5,13093.0,1,1,1,EXACT
Karabaglar,Bozyaka Mah.,9368.0,15577,15395,15216,15282,14874,0.6013994992617321,0.6130087684858003,0.6298238537044507,23365.5,22923.0,22311.0,13997.5,13555.0,12943.0,1,1,1,EXACT
Karabaglar,Doganay Mah.,2270.0,10396,10275,10155,10365,10134,0.2183532127741439,0.2190062711046792,0.22399842115650287,15594.0,15547.5,15201.0,13324.0,13277.5,12931.0,1,1,1,EXACT
Karabaglar,Bahar Mah.,2502.0,10609,10485,10363,10365,10134,0.23583749646526533,0.24138929088277858,0.2468916518650089,15913.5,15547.5,15201.0,13411.5,13045.5,12699.0,1,1,1,EXACT
Bergama,Fatih Mah.,17963.0,20005,20043,20080,20152,20179,0.8979255186203449,0.8913755458515283,0.8901828633728133,30007.5,30228.0,30268.5,12044.5,12265.0,12305.5,1,1,1,EXACT
Karabaglar,Arap Hasan Mah.,1690.0,9192,9085,8979,9147,9154,0.1838555265448216,0.18476003061112933,0.1846187459034302,13788.0,13720.5,13731.0,12098.0,12030.5,12041.0,1,1,1,EXACT
Bayrakli,Gumuspala Mah.,10742.0,15554,15378,15204,15268,14839,0.6906262054776906,0.7035630075975897,0.7239032279803221,23331.0,22902.0,22258.5,12589.0,12160.0,11516.5,1,1,1,EXACT
Karabaglar,Aydin Mah.,540.0,8106,8011,7918,7933,7832,0.06661732050333087,0.06807008697844447,0.06894790602655772,12159.0,11899.5,11748.0,11619.0,11359.5,11208.0,1,1,1,EXACT
Bayrakli,Muhittin Erener Mah.,715.0,8178,8085,7994,8079,7939,0.08742968941061384,0.0885010521104097,0.09006172061972541,12267.0,12118.5,11908.5,11552.0,11403.5,11193.5,1,1,1,EXACT
Karabaglar,Ugur Mumcu Mah.,1150.0,8391,8293,8196,8323,8227,0.1370516029078775,0.13817133245224078,0.1397836392366598,12586.5,12484.5,12340.5,11436.5,11334.5,11190.5,1,1,1,EXACT
Buca,Ataturk Mah.,18239.0,19651,19566,19482,19567,19570,0.9281461503231387,0.9321306280983288,0.9319877363311191,29476.5,29350.5,29355.0,11237.5,11111.5,11116.0,1,1,1,EXACT
Buca,Camlipinar Mah.,6900.0,12209,12156,12104,12016,12008,0.5651568515029896,0.5742343541944075,0.5746169220519654,18313.5,18024.0,18012.0,11413.5,11124.0,11112.0,1,1,1,EXACT
Bornova,Kosukavak Mah.,1000.0,7690,7754,7818,7746,7747,0.13003901170351106,0.12909888974954814,0.1290822253775655,11535.0,11619.0,11620.5,10535.0,10619.0,10620.5,1,1,1,EXACT
Karabaglar,Reis Mah.,4377.0,10043,9926,9810,9953,9951,0.4358259484217863,0.4397669044509193,0.4398552909255351,15064.5,14929.5,14926.5,10687.5,10552.5,10549.5,1,1,1,EXACT
Karabaglar,Calikusu Mah.,5904.0,10911,10784,10658,10773,10614,0.54110530657135,0.5480367585630743,0.5562464669304692,16366.5,16159.5,15921.0,10462.5,10255.5,10017.0,1,1,1,EXACT
Menemen,Irmak Mah.,3426.0,8390,8625,8867,8674,8893,0.40834326579261027,0.394973483975098,0.3852468233442033,12585.0,13011.0,13339.5,9159.0,9585.0,9913.5,1,1,1,EXACT
Karsiyaka,Donanmaci Mah.,3950.0,9507,9452,9398,9367,9201,0.4154833280740507,0.4216931781787125,0.4293011629170742,14260.5,14050.5,13801.5,10310.5,10100.5,9851.5,1,1,1,EXACT
Aliaga,Kurtulus Mah.,3355.0,8427,8595,8767,8576,8803,0.39812507416637,0.3912080223880597,0.38112007270248777,12640.5,12864.0,13204.5,9285.5,9509.0,9849.5,1,1,1,EXACT
Karabaglar,Baris Mah.,1100.0,7428,7341,7256,7299,7299,0.14808831448572968,0.15070557610631594,0.15070557610631594,11142.0,10948.5,10948.5,10042.0,9848.5,9848.5,1,1,1,EXACT
Bornova,Karacaoglan Mah.,3900.0,8949,9023,9098,9096,9096,0.4358028830036876,0.4287598944591029,0.4287598944591029,13423.5,13644.0,13644.0,9523.5,9744.0,9744.0,1,1,1,EXACT
Bornova,Zafer Mah.,4000.0,9019,9094,9169,9096,9096,0.44350814946224637,0.4397537379067722,0.4397537379067722,13528.5,13644.0,13644.0,9528.5,9644.0,9644.0,1,1,1,EXACT
Karabaglar,Peker Mah.,5600.0,10527,10404,10283,10372,10138,0.5319654222475539,0.5399151561897416,0.5523771947129611,15790.5,15558.0,15207.0,10190.5,9958.0,9607.0,1,1,1,EXACT
Karabaglar,Sevgi Mah.,4455.0,9726,9613,9501,9540,9326,0.4580505860579889,0.4669811320754717,0.4776967617413682,14589.0,14310.0,13989.0,10134.0,9855.0,9534.0,1,1,1,EXACT
Konak,Cankaya Mah.,4503.0,9788,9635,9485,9534,9324,0.46005312627707395,0.47230962869729387,0.48294723294723296,14682.0,14301.0,13986.0,10179.0,9798.0,9483.0,1,1,1,EXACT
Buca,Vali Rahmi Bey Mah.,4000.0,8838,8800,8762,8739,8732,0.45259108395564607,0.4577182744021055,0.45808520384791573,13257.0,13108.5,13098.0,9257.0,9108.5,9098.0,1,1,1,EXACT
Buca,Laleli Mah.,1265.0,6993,6963,6933,6906,6898,0.1808951808951809,0.18317405154937735,0.18338648883734415,10489.5,10359.0,10347.0,9224.5,9094.0,9082.0,1,1,1,EXACT
Buca,Baris Mah.,10322.0,13169,13112,13056,12914,12904,0.7838104639684107,0.7992875948582934,0.7999070055796652,19753.5,19371.0,19356.0,9431.5,9049.0,9034.0,1,1,1,EXACT
Bayrakli,Alpaslan Mah.,2975.0,8107,8015,7924,8076,7936,0.3669668187985691,0.3683754333828628,0.3748739919354839,12160.5,12114.0,11904.0,9185.5,9139.0,8929.0,1,1,1,EXACT
Karabaglar,Muammer Akar Mah.,1244.0,6857,6777,6698,6754,6647,0.18142044625929707,0.18418714835652947,0.18715209869113886,10285.5,10131.0,9970.5,9041.5,8887.0,8726.5,1,1,1,EXACT
Torbali,Ataturk Mah.,15020.0,15007,15372,15746,15413,15818,1.0008662624108748,0.9745020437293194,0.949551144266026,22510.5,23119.5,23727.0,7490.5,8099.5,8707.0,1,1,1,EXACT
Karabaglar,Metin Oktay Mah.,1298.0,6496,6420,6345,6503,6502,0.1998152709359606,0.19960018453021683,0.19963088280529068,9744.0,9754.5,9753.0,8446.0,8456.5,8455.0,1,1,1,EXACT
Konak,Mithatpasa Mah.,2200.0,7216,7103,6992,7081,6986,0.3048780487804878,0.31069058042649345,0.3149155453764672,10824.0,10621.5,10479.0,8624.0,8421.5,8279.0,1,1,1,EXACT
Konak,Zeytinlik Mah.,2025.0,7008,6899,6791,6985,6816,0.2889554794520548,0.28990694345025053,0.2970950704225352,10512.0,10477.5,10224.0,8487.0,8452.5,8199.0,1,1,1,EXACT
Menemen,Golcuk Mah.,4410.0,7861,8082,8308,8185,8400,0.5609973285841496,0.5387904703726328,0.525,11791.5,12277.5,12600.0,7381.5,7867.5,8190.0,1,1,1,EXACT
Cigli,Guzeltepe Mah.,1500.0,6399,6421,6442,6450,6450,0.23441162681669012,0.23255813953488372,0.23255813953488372,9598.5,9675.0,9675.0,8098.5,8175.0,8175.0,1,1,1,EXACT
Buca,Guven Mah.,1711.0,6549,6521,6493,6565,6569,0.26126126126126126,0.2606245239908606,0.2604658243263815,9823.5,9847.5,9853.5,8112.5,8136.5,8142.5,1,1,1,EXACT
Cigli,Sirintepe Mah.,4463.0,8355,8383,8412,8339,8339,0.5341711549970077,0.5351960666746612,0.5351960666746612,12532.5,12508.5,12508.5,8069.5,8045.5,8045.5,1,1,1,EXACT
Gaziemir,Gazi Mah.,15713.0,15654,15687,15720,15754,15754,1.0037690047272263,0.9973974863526723,0.9973974863526723,23481.0,23631.0,23631.0,7768.0,7918.0,7918.0,1,1,1,EXACT
Karabaglar,Uckuyular Mah.,5769.0,8962,8858,8754,8945,8945,0.6437179201071189,0.6449413079932923,0.6449413079932923,13443.0,13417.5,13417.5,7674.0,7648.5,7648.5,1,1,1,EXACT
Karabaglar,Yuzbasi Serafettin Mah.,1530.0,6085,6014,5944,6043,5974,0.2514379622021364,0.25318550388879696,0.25610980917308335,9127.5,9064.5,8961.0,7597.5,7534.5,7431.0,1,1,1,EXACT
Konak,Barbaros Mah.,1900.0,6399,6299,6201,6317,6204,0.2969213939678075,0.3007756846604401,0.30625402965828497,9598.5,9475.5,9306.0,7698.5,7575.5,7406.0,1,1,1,EXACT
Bornova,Merkez Mah.,2100.0,6198,6249,6301,6254,6290,0.3388189738625363,0.33578509753757596,0.3338632750397456,9297.0,9381.0,9435.0,7197.0,7281.0,7335.0,1,1,1,EXACT
Menemen,Yahselli Mah.,140.0,4668,4799,4934,4808,4945,0.029991431019708654,0.029118136439267885,0.028311425682507583,7002.0,7212.0,7417.5,6862.0,7072.0,7277.5,1,1,1,EXACT
Bornova,Ataturk Mah.,36300.0,29527,29772,30019,29322,28930,1.229383276323365,1.2379783098015142,1.2547528517110267,44290.5,43983.0,43395.0,7990.5,7683.0,7095.0,1,1,1,EXACT
Balcova,Teleferik Mah.,5835.0,8432,8336,8241,8335,8239,0.6920066413662239,0.7000599880023995,0.7082170166282316,12648.0,12502.5,12358.5,6813.0,6667.5,6523.5,1,1,1,EXACT
Konak,Alsancak Mah.,1580.0,5388,5304,5221,5324,5207,0.29324424647364516,0.29676934635612323,0.3034376800460918,8082.0,7986.0,7810.5,6502.0,6406.0,6230.5,1,1,1,EXACT
Gaziemir,Gazikent Mah.,5140.0,7593,7609,7625,7568,7568,0.6769392861846437,0.6791754756871036,0.6791754756871036,11389.5,11352.0,11352.0,6249.5,6212.0,6212.0,1,1,1,EXACT
Selcuk,Zafer Mah.,5363.0,7804,7782,7760,7713,7713,0.6872116863147104,0.6953195903020873,0.6953195903020873,11706.0,11569.5,11569.5,6343.0,6206.5,6206.5,1,1,1,EXACT
Bornova,Gurpinar Mah.,12400.0,12214,12315,12418,12389,12378,1.015228426395939,1.0008878844135927,1.0017773469058007,18321.0,18583.5,18567.0,5921.0,6183.5,6167.0,1,1,1,EXACT
Konak,Altintas Mah.,1082.0,5009,4931,4854,4873,4756,0.2160111798762228,0.22203981120459676,0.22750210260723297,7513.5,7309.5,7134.0,6431.5,6227.5,6052.0,1,1,1,EXACT
Konak,Ferahli Mah.,4070.0000000000005,6877,6770,6664,6821,6748,0.5918278319034463,0.5966867028294972,0.603141671606402,10315.5,10231.5,10122.0,6245.5,6161.5,6052.0,1,1,1,EXACT
Tire,Kurtulus Mah.,1407.0,4891,4875,4859,4935,4935,0.2876712328767123,0.2851063829787234,0.2851063829787234,7336.5,7402.5,7402.5,5929.5,5995.5,5995.5,1,1,1,EXACT
Dikili,Ismetpasa Mah.,9622.0,10010,10111,10212,10203,10402,0.9612387612387613,0.9430559639321768,0.9250144203037878,15015.0,15304.5,15603.0,5393.0,5682.5,5981.0,1,1,1,EXACT
Karsiyaka,Tersane Mah.,3550.0,6431,6394,6357,6381,6331,0.5520136837194838,0.5563391317975239,0.5607329015953246,9646.5,9571.5,9496.5,6096.5,6021.5,5946.5,1,1,1,EXACT
Karsiyaka,Tuna Mah.,2400.0,5499,5467,5436,5531,5535,0.436442989634479,0.43391791719399747,0.43360433604336046,8248.5,8296.5,8302.5,5848.5,5896.5,5902.5,1,1,1,EXACT
Menemen,Incirli Pinar Mah.,3840.0,6091,6262,6438,6266,6456,0.6304383516663931,0.6128311522502394,0.5947955390334573,9136.5,9399.0,9684.0,5296.5,5559.0,5844.0,1,1,1,EXACT
Torbali,Torbali Mah.,31107.0,23490,24062,24647,24325,24468,1.3242656449553,1.2788078108941419,1.2713339872486513,35235.0,36487.5,36702.0,4128.0,5380.5,5595.0,1,1,1,EXACT
Karabaglar,Karabaglar Mah.,5388.0,7621,7532,7444,7458,7305,0.7069938328303372,0.7224456958970233,0.737577002053388,11431.5,11187.0,10957.5,6043.5,5799.0,5569.5,1,1,1,EXACT
Karsiyaka,Goncalar Mah.,8250.0,9169,9116,9064,9189,9202,0.8997709673901189,0.8978126020241594,0.8965442295153228,13753.5,13783.5,13803.0,5503.5,5533.5,5553.0,1,1,1,EXACT
Karabaglar,Limontepe Mah.,1275.0,4534,4481,4429,4453,4453,0.2812086457873842,0.28632382663373007,0.28632382663373007,6801.0,6679.5,6679.5,5526.0,5404.5,5404.5,1,1,1,EXACT
Konak,Murat Mah.,1780.0,4866,4790,4715,4755,4755,0.36580353473078503,0.3743427970557308,0.3743427970557308,7299.0,7132.5,7132.5,5519.0,5352.5,5352.5,1,1,1,EXACT
Konak,Saygi Mah.,750.0,4157,4092,4028,4113,4040,0.18041857108491702,0.18234865061998543,0.18564356435643564,6235.5,6169.5,6060.0,5485.5,5419.5,5310.0,1,1,1,EXACT
Karsiyaka,Ornekkoy Mah.,30850.0,24290,24151,24012,24023,23999,1.2700699876492383,1.2841859884277567,1.2854702279261636,36435.0,36034.5,35998.5,5585.0,5184.5,5148.5,1,1,1,EXACT
Menemen,Ulus Mah.,1400.0,4062,4176,4293,4191,4267,0.34465780403741997,0.3340491529467907,0.3280993672369346,6093.0,6286.5,6400.5,4693.0,4886.5,5000.5,1,1,1,EXACT
Bayrakli,Bayrakli Mah.,4480.0,6211,6141,6071,6176,6144,0.7213009177266141,0.7253886010362695,0.7291666666666666,9316.5,9264.0,9216.0,4836.5,4784.0,4736.0,1,1,1,EXACT
Bergama,Bahcelievler Mah.,5500.0,6736,6749,6761,6753,6755,0.8165083135391924,0.8144528357766918,0.8142116950407106,10104.0,10129.5,10132.5,4604.0,4629.5,4632.5,1,1,1,EXACT
Gaziemir,Fatih Mah.,3960.0,5678,5690,5702,5715,5715,0.6974286720676295,0.6929133858267716,0.6929133858267716,8517.0,8572.5,8572.5,4557.0,4612.5,4612.5,1,1,1,EXACT
Menemen,Hatundere Mah.,738.0,3329,3422,3518,3426,3558,0.22168819465304895,0.21541155866900175,0.20741989881956155,4993.5,5139.0,5337.0,4255.5,4401.0,4599.0,1,1,1,EXACT
